customer_id,name,phone,email,optional_consent,gender,member_status,joined_at
C0059,김준서,010-6908-7049,user59887@daum.net,agree,m,active,2026-02-11
C0060,김도아,010-1801-7172,user60252@naver.com,agree,f,active,2026-06-22
C0061,최재훈,010-4655-4135,user61302@hanmail.net,agree,m,active,2026-03-20
C0062,한수경,010-2342-4014,user62802@gmail.com,agree,m,inactive,2025-02-03
C0063,김서서,010-6515-6752,user63621@daum.net,agree,f,active,2023-06-15
C0064,조우경,010-7035-2522,user64924@gmail.com,agree,f,active,2024-10-11
C0065,이서빈,010-2812-5892,user65944@naver.com,agree,m,active,2026-03-22
C0066,이우환,010-1298-2126,user66774@daum.net,agree,m,active,2025-05-02
C0067,장현경,010-9599-2246,user67502@gmail.com,agree,m,inactive,2025-10-21
C0068,정민빈,010-9131-7893,user68978@naver.com,agree,m,active,2024-10-29
C0069,강하훈,010-6784-4154,user6996@daum.net,agree,m,active,2025-12-01
C0070,장지연,010-9504-9090,user70132@hanmail.net,agree,f,active,2023-08-24
C0071,한재진,010-3225-9015,user71122@daum.net,agree,m,active,2023-05-08
C0072,강하경,010-2037-9606,user72578@naver.com,disagree,f,active,2025-06-04
C0073,박수주,010-4043-4318,user73233@naver.com,agree,f,active,2025-10-05
C0074,이연우,010-7455-7473,user74736@naver.com,agree,f,active,2023-10-23
C0075,전준경,010-8387-5256,user75547@naver.com,disagree,f,deleted,2024-06-10
C0076,이하빈,010-7887-7375,user76974@gmail.com,agree,m,active,2023-01-30
C0077,최도주,010-6512-4861,user77306@daum.net,agree,f,active,2023-04-14
C0078,이준경,010-7880-6034,user78808@gmail.com,agree,f,inactive,2023-12-25
C0079,박연미,010-6993-1465,user79737@daum.net,agree,f,active,2026-05-08
C0080,정원주,010-9872-1585,user8084@naver.com,agree,f,active,2026-05-07
C0081,박아연,010-5527-7213,user81519@gmail.com,agree,f,active,2024-06-21
C0082,김아영,010-8317-4213,user8265@gmail.com,agree,f,active,2025-01-29
C0083,김아미,010-8172-7407,user83517@gmail.com,agree,f,inactive,2023-09-15
C0084,이은진,010-6366-4541,user8435@naver.com,agree,f,active,2024-12-09
C0085,김민영,010-9497-9844,user8593@gmail.com,agree,f,inactive,2026-05-14
C0086,김은연,010-9998-5969,user86626@kakao.com,agree,f,inactive,2023-08-12
C0087,황서우,010-4714-9306,user87476@naver.com,disagree,f,active,2025-02-28
C0088,황서경,010-8999-4287,user88940@naver.com,agree,m,inactive,2025-05-04
C0089,최원경,010-9040-5256,user89345@daum.net,agree,m,active,2023-11-17
C0090,박준아,010-6489-5808,user90527@kakao.com,agree,m,active,2023-11-02
C0091,김하미,010-1681-1026,user91736@naver.com,agree,m,active,2026-04-25
C0092,김수주,010-3481-6245,user9227@naver.com,disagree,m,active,2024-06-01
C0093,김민주,010-1817-6416,user93534@gmail.com,agree,m,active,2023-09-19
C0094,김은우,010-3976-4015,user94894@gmail.com,agree,f,active,2025-08-05
C0095,장하영,010-4257-3441,user95575@naver.com,disagree,f,deleted,2023-12-01
C0096,전아진,010-9724-2895,user96720@kakao.com,agree,f,deleted,2026-04-30
C0097,윤우미,010-1507-9758,user977@naver.com,agree,f,active,2023-07-03
C0098,이연서,010-6384-7176,user98475@gmail.com,agree,m,active,2023-10-31
C0099,안현연,010-5869-9270,user99546@daum.net,agree,f,deleted,2024-11-09
C0100,윤은경,010-9029-4028,user100913@gmail.com,agree,m,active,2024-09-19
C0101,전서경,010-9657-7385,user101718@naver.com,agree,m,active,2025-06-17
C0102,박수미,010-2127-5956,user102269@hanmail.net,agree,m,inactive,2023-08-14
C0103,임연서,010-5909-5487,user103734@naver.com,disagree,m,active,2023-06-12
C0104,강서빈,010-8070-5491,user104238@naver.com,agree,f,active,2023-09-03
C0105,조우빈,010-7389-9445,user105547@gmail.com,agree,f,active,2026-01-11
C0106,박도빈,010-7557-6399,user106721@hanmail.net,agree,m,active,2025-05-29
C0107,박은미,010-8564-8662,user107678@gmail.com,agree,m,active,2023-09-05
C0108,박우연,010-8744-5649,user108583@gmail.com,agree,f,inactive,2024-06-13
C0109,이수서,010-8772-1520,user109226@gmail.com,agree,m,active,2023-11-04
C0110,권준미,010-3018-8794,user110891@naver.com,agree,f,active,2023-05-09
C0111,김재빈,010-6811-8488,user111657@daum.net,agree,f,active,2023-03-28
C0112,정재아,010-3874-5803,user11259@kakao.com,agree,m,active,2024-09-26
C0113,이연연,010-6050-8725,user113616@gmail.com,agree,m,active,2026-01-08
C0114,장현아,010-2160-7511,user114364@gmail.com,agree,m,inactive,2025-07-12
C0115,한현서,010-4433-3716,user115877@naver.com,agree,f,active,2025-03-31
C0116,김수빈,010-2106-7131,user116919@daum.net,agree,f,active,2023-01-01
C0117,신현주,010-7892-3271,user117383@gmail.com,agree,f,active,2025-05-13
C0118,홍지경,010-9176-6067,user118289@gmail.com,agree,m,active,2026-01-31
C0119,김우미,010-8654-9754,user119189@naver.com,agree,m,active,2025-10-07
C0120,이수진,010-5480-4196,user120661@naver.com,agree,m,active,2024-02-17
C0121,조도아,010-5117-6798,user121292@daum.net,agree,f,inactive,2023-04-20
C0122,오지아,010-6599-5632,user122406@naver.com,agree,m,inactive,2023-07-21
C0123,김아진,010-8649-7299,user123114@daum.net,agree,f,active,2025-12-16
C0124,정수빈,010-4637-2239,user124696@naver.com,agree,m,active,2026-05-03
C0125,한재연,010-1086-7735,user125167@kakao.com,agree,m,active,2023-03-15
C0126,이은서,010-4702-1681,user126130@daum.net,agree,f,inactive,2023-06-08
C0127,한수훈,010-7167-7293,user127824@naver.com,agree,f,active,2026-04-18
C0128,송지진,010-8170-6092,user128628@naver.com,agree,m,inactive,2023-02-20
C0129,최준연,010-4558-2899,user129495@naver.com,disagree,m,active,2024-01-29
C0130,김민영,010-3337-7127,user130877@gmail.com,agree,f,active,2025-04-30
C0131,강도진,010-3110-2982,user131552@naver.com,agree,m,deleted,2026-02-25
C0132,신지환,010-8069-9575,user132108@gmail.com,disagree,f,inactive,2024-09-20
C0133,이현미,010-4879-7849,user133396@daum.net,disagree,f,active,2026-06-28
C0134,장지우,010-6819-6143,user13428@naver.com,disagree,f,active,2026-02-11
C0135,이원경,010-6359-6498,user135261@naver.com,agree,m,active,2025-05-31
C0136,김하진,010-3684-3076,user136981@naver.com,agree,m,active,2025-01-30
C0137,황재진,010-3885-2005,user137835@gmail.com,agree,f,active,2025-02-09
C0138,홍민우,010-2388-8520,user138927@naver.com,agree,f,active,2024-10-09
C0139,정서환,010-5086-9366,user139837@naver.com,agree,m,active,2023-10-09
C0140,박연훈,010-9574-7328,user140417@naver.com,agree,m,active,2024-10-24
C0141,박준주,010-1055-4269,user141550@naver.com,agree,m,active,2025-11-27
C0142,윤원서,010-3949-6274,user142526@kakao.com,agree,m,deleted,2023-10-14
C0143,권은경,010-6633-3570,user143501@daum.net,agree,m,active,2025-10-19
C0144,장하환,010-5584-1266,user144376@naver.com,agree,m,active,2024-10-22
C0145,조준훈,010-2007-9641,user145160@naver.com,agree,m,active,2024-07-29
C0146,김서아,010-3531-2870,user146881@daum.net,agree,f,active,2026-02-04
C0147,이원환,010-5418-9769,user147358@kakao.com,agree,m,inactive,2025-03-29
C0148,김서경,010-1020-2434,user148156@gmail.com,agree,m,active,2024-01-09
C0149,황수훈,010-8035-7120,user149175@gmail.com,agree,m,active,2025-03-10
C0150,안우우,010-6388-4237,user150172@naver.com,agree,f,active,2026-05-12
C0151,이수진,010-4876-5262,user15134@kakao.com,disagree,f,inactive,2024-12-07
C0152,강현경,010-7114-9904,user152680@naver.com,disagree,f,active,2024-07-28
C0153,이서미,010-3517-6601,user153495@naver.com,agree,f,active,2023-02-20
C0154,이하빈,010-1117-5622,user15448@naver.com,agree,m,active,2025-06-11
C0155,홍아환,010-1081-9342,user155394@daum.net,agree,m,active,2024-11-27
C0156,박재진,010-1753-8016,user156125@naver.com,agree,m,active,2023-08-28
C0157,임하미,010-5153-3845,user157508@gmail.com,agree,f,active,2023-08-31
C0158,최현영,010-2958-8259,user158621@naver.com,agree,f,active,2023-01-25
C0159,이은우,010-9992-1273,user159412@naver.com,agree,f,active,2024-06-21
C0160,김재미,010-4978-1168,user160794@naver.com,agree,m,active,2024-08-04
C0161,박수환,010-7599-2470,user161711@gmail.com,agree,m,active,2025-07-06
C0162,강도서,010-2406-3543,user16290@gmail.com,disagree,m,deleted,2024-05-30
C0163,조도경,010-1177-4663,user163118@naver.com,agree,m,active,2025-12-19
C0164,김아빈,010-3796-1995,user164514@naver.com,agree,f,inactive,2025-04-21
C0165,임아경,010-9929-7254,user165839@gmail.com,disagree,f,active,2023-07-07
C0166,김연빈,010-9068-6072,user166602@gmail.com,agree,f,active,2025-07-18
C0167,김은주,010-1563-4703,user167920@gmail.com,agree,f,active,2024-09-26
C0168,이서진,010-4061-4496,user168978@gmail.com,agree,f,active,2026-03-10
C0169,안민환,010-9875-4436,user169696@naver.com,agree,m,active,2024-06-27
C0170,최현미,010-3710-7355,user170314@kakao.com,agree,m,active,2023-05-31
C0171,신연환,010-6547-5018,user171924@naver.com,disagree,m,active,2026-04-19
C0172,최연환,010-7416-6955,user172201@hanmail.net,disagree,m,inactive,2026-03-02
C0173,김수환,010-5166-4704,user173285@naver.com,disagree,f,active,2023-10-01
C0174,김은연,010-7314-3878,user174604@naver.com,agree,m,active,2023-03-23
C0175,이원경,010-4855-1164,user175736@naver.com,agree,m,inactive,2025-01-01
C0176,김연환,010-3021-3396,user176747@naver.com,disagree,m,inactive,2025-08-10
C0177,정준진,010-5510-4827,user177705@hanmail.net,agree,f,deleted,2023-05-19
C0178,최아연,010-4777-8240,user178925@naver.com,agree,f,active,2025-06-03
C0179,전재아,010-1840-3811,user179722@naver.com,agree,m,active,2023-06-22
C0180,박우영,010-6924-4131,user1809@daum.net,agree,m,active,2026-02-23
C0181,최원미,010-4406-7140,user181592@naver.com,agree,m,active,2023-06-16
C0182,오원경,010-3792-1082,user182594@naver.com,agree,f,active,2023-06-10
C0183,황지훈,010-2880-1166,user183932@hanmail.net,agree,m,inactive,2023-12-16
C0184,김도아,010-2618-1947,user184771@naver.com,agree,f,inactive,2024-04-25
C0185,안서영,010-7219-7945,user185528@naver.com,agree,f,active,2023-04-24
C0186,이원진,010-4493-8932,user186683@hanmail.net,agree,m,deleted,2025-10-09
C0187,이준경,010-5238-1751,user187336@naver.com,agree,f,inactive,2023-10-17
C0188,전아경,010-3690-6626,user188151@naver.com,disagree,m,active,2026-03-30
C0189,정준아,010-7015-3523,user189576@hanmail.net,agree,m,inactive,2025-06-01
C0190,황수빈,010-9005-5048,user190734@naver.com,disagree,m,inactive,2023-09-11
C0191,한아진,010-2764-7543,user191825@gmail.com,agree,m,active,2023-01-16
C0192,서수빈,010-4930-6689,user192608@naver.com,agree,m,active,2025-09-27
C0193,최현경,010-1147-6236,user193524@naver.com,agree,f,active,2024-10-04
C0194,이수아,010-4054-5504,user194821@naver.com,agree,f,active,2026-02-13
C0195,최은우,010-6108-9488,user195870@naver.com,agree,f,active,2025-03-31
C0196,조수훈,010-3826-3203,user196135@naver.com,agree,m,active,2023-01-24
C0197,김연빈,010-3484-9662,user197793@naver.com,agree,m,active,2024-03-21
C0198,박서아,010-3360-3757,user198260@naver.com,agree,m,inactive,2023-01-25
C0199,김현주,010-5085-1426,user199477@naver.com,agree,f,inactive,2026-08-06
C0200,박재우,010-1472-9783,user200997@daum.net,agree,m,active,2024-12-20
C0201,김원아,010-9123-2419,user201502@gmail.com,agree,f,active,2025-03-16
C0202,이아우,010-9642-1907,user202738@naver.com,disagree,m,inactive,2024-05-01
C0203,이연빈,010-2506-6238,user20371@kakao.com,agree,f,active,2023-03-08
C0204,이재훈,010-5984-8368,user204942@kakao.com,disagree,f,deleted,2024-11-10
C0205,정현아,010-7998-9136,user205353@gmail.com,agree,f,active,2024-02-07
C0206,임현서,010-7438-6639,user206863@gmail.com,agree,f,active,2026-02-24
C0207,박민미,010-2132-6012,user207427@kakao.com,agree,f,inactive,2024-07-11
C0208,홍현아,010-4054-6850,user20888@gmail.com,agree,m,active,2023-12-10
C0209,정원아,010-2412-9835,user209558@naver.com,agree,m,active,2024-02-21
C0210,박우우,010-5814-7112,user210815@kakao.com,agree,m,active,2025-05-28
C0211,윤현연,010-7388-3567,user211729@gmail.com,agree,m,active,2024-05-04
C0212,황원연,010-1922-2543,user212488@naver.com,agree,f,active,2025-03-10
C0213,김우경,010-4512-4333,user213365@naver.com,agree,f,active,2023-10-29
C0214,장연미,010-7618-9921,user214172@gmail.com,agree,f,active,2025-03-11
C0215,이우경,010-9923-4279,user215986@naver.com,agree,f,active,2025-09-23
C0216,서준환,010-4381-8041,user216805@hanmail.net,agree,f,active,2023-02-22
C0217,한은경,010-9502-5362,user217102@daum.net,disagree,m,deleted,2025-04-10
C0218,박우진,010-1246-6118,user218715@kakao.com,agree,f,active,2024-08-10
C0219,정원주,010-8394-3194,user21922@naver.com,agree,m,active,2023-05-02
C0220,최원빈,010-4415-7595,user220589@daum.net,agree,f,active,2024-06-18
C0221,강서환,010-5359-4679,user221531@daum.net,disagree,m,active,2025-01-15
C0222,이서빈,010-4800-2313,user222915@daum.net,agree,f,active,2025-07-13
C0223,송아아,010-5562-3834,user223165@naver.com,disagree,m,active,2024-11-25
C0224,김원서,010-8882-3400,user224790@gmail.com,agree,m,inactive,2023-04-06
C0225,조원훈,010-3327-1275,user225782@naver.com,agree,m,inactive,2024-04-10
C0226,이지우,010-9562-1305,user22692@gmail.com,agree,f,active,2025-04-18
C0227,김은경,010-7219-7499,user227630@hanmail.net,agree,f,active,2023-01-20
C0228,정민경,010-4259-4963,user228815@naver.com,disagree,f,deleted,2026-02-14
C0229,김우경,010-4470-6663,user229820@naver.com,agree,m,active,2023-07-03
C0230,이준아,010-3998-9676,user230520@hanmail.net,agree,f,active,2026-04-22
C0231,안우아,010-3130-4915,user231476@naver.com,agree,f,deleted,2024-07-27
C0232,서도진,010-5193-8535,user232520@naver.com,disagree,m,active,2024-03-27
C0233,강준아,010-3457-4242,user233144@daum.net,agree,m,inactive,2025-09-27
C0234,황원미,010-9705-4214,user234617@naver.com,agree,m,active,2023-08-02
C0235,이아빈,010-8039-4164,user235164@gmail.com,agree,m,active,2024-08-01
C0236,정수훈,010-7459-4080,user236920@gmail.com,agree,f,active,2026-03-09
C0237,정현진,010-1503-2260,user237900@daum.net,agree,m,active,2024-07-05
C0238,권지미,010-2818-4699,user238205@naver.com,agree,f,inactive,2023-09-06
C0239,최수환,010-5271-6553,user239206@gmail.com,agree,m,active,2026-04-03
C0240,강재영,010-7077-1707,user240648@hanmail.net,agree,f,inactive,2023-08-14
C0241,김지우,010-9351-4624,user241730@naver.com,disagree,f,deleted,2023-08-03
C0242,윤도미,010-3760-3698,user242488@naver.com,agree,f,active,2024-12-15
C0243,조연경,010-8168-5895,user243973@gmail.com,agree,f,active,2024-12-16
C0244,김아서,010-1486-6216,user244596@naver.com,agree,m,active,2023-09-27
C0245,임원빈,010-4894-8347,user245261@naver.com,agree,m,active,2026-05-29
C0246,김연주,010-8951-6259,user246608@kakao.com,agree,f,inactive,2024-01-08
C0247,조아서,010-3311-2487,user247316@gmail.com,agree,m,active,2025-01-19
C0248,최지훈,010-7760-3512,user248745@naver.com,agree,m,active,2025-04-25
C0249,박연서,010-6681-3313,user249789@gmail.com,agree,f,active,2026-05-08
C0250,김우아,010-7491-6793,user250897@naver.com,agree,m,active,2025-06-20
C0251,황지환,010-4999-5170,user251891@gmail.com,agree,f,active,2025-12-12
C0252,전우서,010-1198-6962,user252297@naver.com,agree,m,active,2025-12-19
C0253,김은진,010-4508-8078,user253202@gmail.com,disagree,m,deleted,2023-01-29
C0254,김아진,010-1034-9116,user254712@gmail.com,agree,f,active,2026-03-09
C0255,박지훈,010-9135-6028,user255556@daum.net,agree,f,active,2025-04-21
C0256,장하주,010-1890-8461,user256420@naver.com,agree,f,inactive,2023-12-07
C0257,정준아,010-1639-9148,user257403@naver.com,disagree,m,active,2025-03-14
C0258,윤재훈,010-4068-8646,user258577@gmail.com,disagree,m,deleted,2024-06-03
C0259,윤우경,010-4024-9030,user259860@kakao.com,agree,f,active,2024-10-02
C0260,정원영,010-8556-9347,user260949@kakao.com,disagree,f,deleted,2024-09-16
C0261,황원주,010-6687-6653,user26125@gmail.com,agree,m,inactive,2026-04-10
C0262,김민서,010-2722-9444,user262431@naver.com,agree,m,inactive,2025-05-01
C0263,최재미,010-7228-7894,user263358@naver.com,disagree,m,deleted,2023-01-30
C0264,이연훈,010-9697-2298,user264246@naver.com,agree,m,inactive,2026-01-05
C0265,이하주,010-2414-1574,user265363@gmail.com,agree,f,active,2024-01-22
C0266,최현서,010-4284-6637,user266248@gmail.com,disagree,m,active,2025-06-24
C0267,김하훈,010-6948-1185,user267939@daum.net,disagree,m,deleted,2023-09-27
C0268,전원주,010-5586-6156,user268877@kakao.com,disagree,f,inactive,2023-04-17
C0269,이원진,010-5601-5623,user269904@gmail.com,agree,f,inactive,2023-06-18
C0270,이연주,010-7554-3723,user270214@naver.com,agree,m,inactive,2024-04-24
C0271,이도환,010-2349-7115,user271936@gmail.com,agree,f,active,2023-03-20
C0272,최원훈,010-5551-3119,user27213@naver.com,agree,m,active,2025-06-06
C0273,박준빈,010-6639-1548,user273126@kakao.com,disagree,m,inactive,2026-01-30
C0274,장우진,010-9988-2591,user274907@naver.com,agree,m,active,2024-09-26
C0275,김지주,010-3882-8436,user275634@gmail.com,disagree,f,deleted,2024-04-28
C0276,이서영,010-7389-7513,user276293@daum.net,disagree,m,active,2023-02-13
C0277,장은주,010-3836-7329,user277234@daum.net,agree,f,inactive,2025-07-14
C0278,최우우,010-3946-2189,user27864@gmail.com,agree,f,inactive,2023-02-17
C0279,김서미,010-8403-3960,user279655@daum.net,agree,m,active,2023-11-04
C0280,조아환,010-5008-3819,user280269@gmail.com,agree,m,active,2026-02-05
C0281,김도환,010-4306-8187,user281501@naver.com,agree,f,active,2025-12-11
C0282,최우아,010-4304-5190,user282852@gmail.com,agree,f,active,2025-12-27
C0283,임준연,010-1571-6909,user283267@daum.net,agree,m,active,2025-10-26
C0284,강재영,010-6857-1028,user284679@naver.com,agree,m,active,2023-01-11
C0285,정원우,010-4786-9164,user285357@kakao.com,agree,m,active,2025-08-24
C0286,이민빈,010-8462-3471,user286156@kakao.com,agree,m,inactive,2025-06-24
C0287,임연환,010-7026-8115,user287504@naver.com,agree,m,inactive,2024-12-02
C0288,김우영,010-9439-8148,user288443@daum.net,agree,f,active,2023-11-09
C0289,서아환,010-1639-9364,user289171@naver.com,agree,m,active,2026-02-06
C0290,김민주,010-8075-9346,user290368@naver.com,agree,f,active,2025-05-25
C0291,조민빈,010-5248-7700,user291208@naver.com,agree,f,active,2024-01-06
C0292,김연연,010-2069-2571,user292542@gmail.com,agree,m,inactive,2024-03-27
C0293,신재연,010-6576-1319,user293500@naver.com,agree,f,active,2025-11-18
C0294,황연진,010-3220-3952,user294952@naver.com,agree,m,active,2025-05-31
C0295,김민영,010-9695-3528,user295936@gmail.com,agree,f,active,2025-11-29
C0296,최우아,010-7191-5847,user296118@gmail.com,agree,m,inactive,2023-09-08
C0297,박준빈,010-3197-1573,user297513@naver.com,agree,m,active,2023-06-02
C0298,오현아,010-8392-9015,user298370@naver.com,disagree,f,inactive,2026-01-28
C0299,김아훈,010-9398-7679,user299258@gmail.com,agree,m,active,2024-04-18
C0300,김민우,010-8096-9024,user300209@naver.com,agree,f,active,2025-06-27
